Gender,Age,Bike Lanes
Female,Old,Yes
Female,Old,Yes
Female,Old,Yes
Female,Old,Yes
Male,Old,No
Male,Old,No
Male,Old,No
Male,Young,Yes
Female,Old,Yes
Female,Young,Yes
Male,Old,No
Male,Young,No
Female,Old,Yes
Female,Old,Yes
Male,Old,Yes
Female,Old,Yes
Female,Young,Yes
Male,Old,No
Male,Young,No
Female,Old,Yes
Female,Young,Yes
Male,Old,No
Male,Old,No
Male,Old,No
Female,Old,Yes
Male,Old,No
Female,Old,Yes
Male,Young,Yes
Male,Young,Yes
Female,Old,Yes
Male,Old,No
Female,Old,Yes
Female,Young,Yes
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Old,Yes
Female,Old,Yes
Male,Old,No
Female,Old,Yes
Male,Old,No
Female,Old,Yes
Male,Old,No
Female,Young,Yes
Male,Old,No
Female,Old,No
Female,Old,Yes
Male,Young,Yes
Female,Old,Yes
Male,Young,Yes
Female,Old,Yes
Male,Young,Yes
Female,Young,Yes
Male,Old,Yes
Male,Old,No
Female,Old,Yes
Female,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Female,Young,Yes
Male,Old,Yes
Female,Young,No
Female,Young,Yes
Male,Old,No
Female,Young,Yes
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Old,No
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Female,Old,No
Female,Old,No
Male,Young,Yes
Female,Young,Yes
Female,Old,Yes
Female,Young,Yes
Female,Young,No
Female,Old,Yes
Male,Young,Yes
Female,Young,Yes
Male,Young,Yes
Female,Young,Yes
Male,Old,No
Male,Young,No
Male,Young,Yes
Female,Young,Yes
Female,Young,No
Female,Old,No
Female,Old,Yes
Female,Young,Yes
Female,Old,Yes
Male,Old,No
Male,Young,Yes
Female,Old,Yes
Female,Young,Yes
Female,Old,Yes
Female,Old,Yes
Male,Old,No
Male,Young,Yes
Male,Young,Yes
Female,Young,Yes
Female,Young,Yes
Female,Young,Yes
Male,Old,No
Male,Old,No
Male,Old,No
Female,Old,Yes
Male,Young,Yes
Female,Old,Yes
Female,Young,Yes
Female,Old,Yes
Male,Old,No
Male,Young,Yes
Male,Young,No
Male,Old,No
Male,Old,No
Female,Old,Yes
Male,Young,Yes
Female,Young,Yes
Female,Old,Yes
Male,Young,Yes
Female,Old,Yes
Female,Young,Yes
Female,Old,No
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Male,Young,Yes
Male,Young,No
Female,Young,Yes
Male,Old,No
Male,Old,No
Male,Young,No
Male,Young,Yes
Female,Old,Yes
Female,Old,Yes
Female,Young,Yes
Female,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Male,Old,No
Male,Old,No
Male,Old,No
Male,Old,No
Male,Old,No
Female,Young,Yes
Female,Young,No
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Male,Young,Yes
Male,Old,No
Male,Old,No
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Old,No
Male,Young,Yes
Female,Old,Yes
Male,Young,Yes
Male,Young,Yes
Female,Old,Yes
Female,Young,Yes
Female,Old,Yes
Male,Old,No
Male,Old,No
Male,Young,Yes
Female,Old,Yes
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Male,Old,No
Female,Young,Yes
Male,Young,Yes
Male,Young,Yes
Female,Old,Yes
Female,Young,Yes
Female,Old,Yes
Male,Old,No
Female,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Female,Old,Yes
Male,Young,Yes
Female,Old,Yes
Male,Young,Yes
Female,Old,Yes
Male,Old,No
Female,Young,Yes
Male,Young,No
Female,Old,Yes
Male,Old,No
Female,Young,Yes
Male,Young,Yes
Male,Old,No
Female,Young,Yes
Male,Young,Yes
Female,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Female,Young,Yes
Male,Old,No
Female,Young,Yes
Male,Young,Yes
Female,Old,No
Female,Old,Yes
Female,Old,Yes
Female,Old,Yes
Female,Young,Yes
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Old,Yes
Male,Old,No
Male,Old,No
Male,Young,Yes
Female,Old,Yes
Male,Young,No
Female,Young,Yes
Male,Young,Yes
Male,Young,Yes
Male,Old,No
Female,Young,Yes
Female,Old,Yes
Female,Young,Yes
Male,Old,No
Male,Young,Yes
Female,Old,No
Female,Young,Yes
Female,Old,Yes
Male,Young,Yes
Female,Old,Yes
Male,Young,Yes
Female,Young,Yes
Male,Old,Yes
Male,Young,No
Female,Old,Yes
Male,Young,Yes
Male,Young,No
Female,Young,Yes
Male,Young,Yes
Female,Young,Yes
Male,Old,No
Female,Old,Yes
Female,Young,Yes
Male,Old,No
Male,Old,No
Male,Old,No
Male,Young,Yes
Female,Young,Yes
Male,Young,Yes
Male,Young,Yes
Male,Young,Yes
Male,Old,No
Female,Old,Yes
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Young,Yes
Male,Young,Yes
Female,Young,Yes
Female,Young,Yes
Male,Young,Yes
Female,Old,Yes
Male,Old,No
Male,Old,No
Female,Young,Yes
Female,Old,No
Male,Old,No
Female,Old,Yes
Male,Old,Yes
Female,Young,Yes
Female,Old,Yes
Male,Old,No
Male,Young,Yes
Male,Old,No
Male,Old,No
Male,Young,Yes
Male,Young,Yes
Female,Young,Yes
Female,Young,Yes
Female,Young,Yes
Male,Young,Yes
Male,Old,No
